,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.0,0.054,0.24,0.032,0.375,0.99,0.017,0.013,0.011,0.012,0.007,0.576,0.92,0.66,0.007,0.003,0.773,0.006,0.873,0.303,0.027,0.017,0.023,0.018,0.899,0.986,0.977,0.03,0.022,0.446,0.001,0.012,0.016,0.499,0.019,0.996,0.02,0.698,0.0,0.134,0.652,0.232,0.022,0.01,0.751,0.019,0.704,0.023,0.006,0.018
1,0.054,1.0,0.89,0.334,0.019,0.026,0.208,0.171,0.034,0.736,0.048,0.549,0.183,0.005,0.166,0.114,0.001,0.128,0.252,0.847,0.54,0.037,0.295,0.041,0.005,0.115,0.016,0.994,0.492,0.71,0.867,0.964,0.662,0.695,0.619,0.049,0.274,0.438,0.845,0.976,0.511,0.924,0.031,0.965,0.377,0.028,0.008,0.026,0.055,0.021
2,0.24,0.89,1.0,0.113,0.013,0.192,0.063,0.081,0.016,0.426,0.021,0.851,0.502,0.014,0.053,0.036,0.033,0.032,0.554,0.997,0.262,0.02,0.108,0.015,0.068,0.334,0.159,0.828,0.255,0.946,0.61,0.751,0.382,0.933,0.323,0.22,0.087,0.761,0.567,0.963,0.825,0.996,0.012,0.805,0.713,0.011,0.022,0.012,0.014,0.003
3,0.032,0.334,0.113,1.0,0.022,0.032,0.97,0.943,0.32,0.797,0.433,0.025,0.008,0.027,0.879,0.772,0.03,0.792,0.014,0.117,0.93,0.326,1.0,0.266,0.029,0.029,0.038,0.399,0.941,0.053,0.598,0.478,0.818,0.037,0.876,0.025,0.994,0.011,0.667,0.233,0.016,0.144,0.211,0.492,0.007,0.145,0.019,0.228,0.478,0.131
4,0.375,0.019,0.013,0.022,1.0,0.479,0.028,0.027,0.013,0.029,0.025,0.054,0.197,0.872,0.033,0.036,0.761,0.035,0.162,0.023,0.032,0.014,0.019,0.013,0.657,0.294,0.504,0.025,0.029,0.019,0.026,0.031,0.026,0.031,0.026,0.428,0.029,0.081,0.038,0.015,0.062,0.007,0.006,0.021,0.095,0.002,0.86,0.011,0.037,0.0
5,0.99,0.026,0.192,0.032,0.479,1.0,0.012,0.016,0.018,0.021,0.012,0.517,0.858,0.727,0.008,0.011,0.875,0.012,0.824,0.208,0.03,0.019,0.031,0.016,0.963,0.944,0.998,0.01,0.03,0.34,0.002,0.001,0.023,0.384,0.036,0.992,0.019,0.62,0.004,0.085,0.533,0.148,0.025,0.01,0.663,0.022,0.78,0.016,0.01,0.022
6,0.017,0.208,0.063,0.97,0.028,0.012,1.0,0.999,0.444,0.612,0.566,0.008,0.008,0.018,0.984,0.925,0.021,0.942,0.009,0.06,0.804,0.475,0.963,0.373,0.02,0.012,0.022,0.288,0.821,0.032,0.457,0.33,0.645,0.012,0.714,0.022,0.983,0.011,0.484,0.123,0.007,0.097,0.334,0.323,0.007,0.227,0.019,0.362,0.686,0.213
7,0.013,0.171,0.081,0.943,0.027,0.016,0.999,1.0,0.464,0.59,0.605,0.006,0.011,0.022,0.991,0.945,0.013,0.956,0.011,0.049,0.777,0.54,0.952,0.418,0.011,0.017,0.019,0.277,0.819,0.02,0.431,0.294,0.61,0.011,0.697,0.015,0.974,0.002,0.446,0.126,0.005,0.097,0.399,0.282,0.005,0.255,0.022,0.384,0.697,0.229
8,0.011,0.034,0.016,0.32,0.013,0.018,0.444,0.464,1.0,0.106,0.952,0.001,0.002,0.032,0.532,0.69,0.032,0.653,0.001,0.017,0.164,0.996,0.316,0.997,0.026,0.006,0.028,0.042,0.212,0.006,0.08,0.049,0.116,0.004,0.14,0.014,0.353,0.001,0.09,0.024,0.0,0.015,0.979,0.049,0.0,0.918,0.027,0.988,0.924,0.884
9,0.012,0.736,0.426,0.797,0.029,0.021,0.612,0.59,0.106,1.0,0.172,0.136,0.004,0.042,0.503,0.386,0.035,0.389,0.014,0.372,0.946,0.13,0.742,0.09,0.032,0.003,0.025,0.822,0.924,0.245,0.96,0.889,0.997,0.199,0.973,0.015,0.712,0.076,0.988,0.591,0.103,0.468,0.086,0.854,0.061,0.064,0.037,0.115,0.206,0.049
10,0.007,0.048,0.021,0.433,0.025,0.012,0.566,0.605,0.952,0.172,1.0,0.003,0.002,0.037,0.68,0.827,0.029,0.813,0.002,0.009,0.296,0.982,0.473,0.94,0.032,0.007,0.01,0.055,0.301,0.015,0.093,0.075,0.19,0.005,0.237,0.012,0.487,0.0,0.141,0.027,0.003,0.015,0.883,0.081,0.0,0.8,0.03,0.915,0.992,0.747
11,0.576,0.549,0.851,0.025,0.054,0.517,0.008,0.006,0.001,0.136,0.003,1.0,0.838,0.126,0.01,0.01,0.212,0.008,0.89,0.889,0.059,0.001,0.017,0.001,0.327,0.706,0.429,0.476,0.051,0.967,0.269,0.364,0.119,0.983,0.082,0.572,0.01,0.988,0.234,0.697,0.997,0.795,0.001,0.437,0.974,0.002,0.144,0.0,0.004,0.003
12,0.92,0.183,0.502,0.008,0.197,0.858,0.008,0.011,0.002,0.004,0.002,0.838,1.0,0.406,0.006,0.006,0.545,0.002,0.997,0.55,0.016,0.001,0.019,0.0,0.678,0.973,0.797,0.119,0.007,0.69,0.034,0.074,0.008,0.751,0.003,0.888,0.009,0.917,0.028,0.352,0.877,0.456,0.008,0.12,0.938,0.012,0.409,0.007,0.001,0.014
13,0.66,0.005,0.014,0.027,0.872,0.727,0.018,0.022,0.032,0.042,0.037,0.126,0.406,1.0,0.027,0.027,0.98,0.025,0.356,0.025,0.028,0.03,0.02,0.03,0.901,0.568,0.794,0.009,0.03,0.071,0.033,0.023,0.038,0.081,0.041,0.739,0.019,0.187,0.04,0.008,0.181,0.01,0.018,0.028,0.242,0.015,0.998,0.027,0.038,0.014
14,0.007,0.166,0.053,0.879,0.033,0.008,0.984,0.991,0.532,0.503,0.68,0.01,0.006,0.027,1.0,0.959,0.015,0.98,0.01,0.036,0.691,0.591,0.915,0.495,0.014,0.007,0.016,0.201,0.741,0.013,0.358,0.256,0.564,0.017,0.649,0.01,0.934,0.002,0.396,0.107,0.007,0.067,0.426,0.276,0.009,0.293,0.021,0.462,0.786,0.264
15,0.003,0.114,0.036,0.772,0.036,0.011,0.925,0.945,0.69,0.386,0.827,0.01,0.006,0.027,0.959,1.0,0.013,0.999,0.004,0.028,0.521,0.733,0.782,0.657,0.008,0.002,0.005,0.163,0.585,0.015,0.281,0.201,0.413,0.008,0.498,0.009,0.827,0.004,0.29,0.077,0.005,0.048,0.54,0.178,0.0,0.459,0.02,0.608,0.897,0.406
16,0.773,0.001,0.033,0.03,0.761,0.875,0.021,0.013,0.032,0.035,0.029,0.212,0.545,0.98,0.015,0.013,1.0,0.008,0.51,0.054,0.045,0.023,0.038,0.032,0.986,0.711,0.885,0.012,0.045,0.109,0.02,0.019,0.035,0.156,0.054,0.83,0.025,0.311,0.035,0.012,0.278,0.026,0.029,0.01,0.328,0.024,0.992,0.028,0.019,0.015
17,0.006,0.128,0.032,0.792,0.035,0.012,0.942,0.956,0.653,0.389,0.813,0.008,0.002,0.025,0.98,0.999,0.008,1.0,0.005,0.036,0.567,0.72,0.816,0.601,0.006,0.008,0.005,0.169,0.617,0.016,0.304,0.237,0.446,0.01,0.523,0.009,0.86,0.004,0.292,0.061,0.008,0.049,0.544,0.179,0.006,0.377,0.023,0.561,0.855,0.352
18,0.873,0.252,0.554,0.014,0.162,0.824,0.009,0.011,0.001,0.014,0.002,0.89,0.997,0.356,0.01,0.004,0.51,0.005,1.0,0.611,0.002,0.003,0.014,0.003,0.673,0.934,0.77,0.182,0.005,0.75,0.062,0.117,0.009,0.793,0.004,0.86,0.012,0.95,0.037,0.397,0.916,0.495,0.004,0.147,0.974,0.013,0.392,0.004,0.0,0.016
19,0.303,0.847,0.997,0.117,0.023,0.208,0.06,0.049,0.017,0.372,0.009,0.889,0.55,0.025,0.036,0.028,0.054,0.036,0.611,1.0,0.215,0.015,0.102,0.01,0.108,0.382,0.167,0.804,0.21,0.965,0.549,0.707,0.34,0.955,0.279,0.259,0.096,0.815,0.496,0.952,0.855,0.991,0.007,0.722,0.753,0.002,0.025,0.009,0.017,0.006
20,0.027,0.54,0.262,0.93,0.032,0.03,0.804,0.777,0.164,0.946,0.296,0.059,0.016,0.028,0.691,0.521,0.045,0.567,0.002,0.215,1.0,0.196,0.915,0.142,0.045,0.025,0.046,0.651,0.998,0.137,0.838,0.715,0.963,0.093,0.989,0.03,0.875,0.016,0.885,0.421,0.046,0.295,0.132,0.663,0.014,0.084,0.047,0.123,0.296,0.079
21,0.017,0.037,0.02,0.326,0.014,0.019,0.475,0.54,0.996,0.13,0.982,0.001,0.001,0.03,0.591,0.733,0.023,0.72,0.003,0.015,0.196,1.0,0.348,0.991,0.027,0.009,0.025,0.043,0.22,0.006,0.079,0.069,0.124,0.007,0.161,0.025,0.388,0.0,0.095,0.029,0.0,0.018,0.956,0.07,0.0,0.895,0.032,0.972,0.946,0.87
22,0.023,0.295,0.108,1.0,0.019,0.031,0.963,0.952,0.316,0.742,0.473,0.017,0.019,0.02,0.915,0.782,0.038,0.816,0.014,0.102,0.915,0.348,1.0,0.287,0.038,0.026,0.025,0.373,0.923,0.04,0.603,0.496,0.812,0.026,0.85,0.031,0.996,0.007,0.632,0.202,0.013,0.149,0.239,0.423,0.005,0.149,0.022,0.268,0.558,0.134
23,0.018,0.041,0.015,0.266,0.013,0.016,0.373,0.418,0.997,0.09,0.94,0.001,0.0,0.03,0.495,0.657,0.032,0.601,0.003,0.01,0.142,0.991,0.287,1.0,0.04,0.009,0.02,0.042,0.149,0.003,0.071,0.036,0.111,0.005,0.152,0.024,0.295,0.0,0.077,0.025,0.002,0.019,0.986,0.051,0.001,0.933,0.025,0.995,0.889,0.923
24,0.899,0.005,0.068,0.029,0.657,0.963,0.02,0.011,0.026,0.032,0.032,0.327,0.678,0.901,0.014,0.008,0.986,0.006,0.673,0.108,0.045,0.027,0.038,0.04,1.0,0.822,0.971,0.001,0.047,0.193,0.014,0.004,0.034,0.211,0.037,0.919,0.031,0.419,0.028,0.024,0.385,0.046,0.023,0.003,0.472,0.027,0.946,0.027,0.016,0.026
25,0.986,0.115,0.334,0.029,0.294,0.944,0.012,0.017,0.006,0.003,0.007,0.706,0.973,0.568,0.007,0.002,0.711,0.008,0.934,0.382,0.025,0.009,0.026,0.009,0.822,1.0,0.916,0.066,0.025,0.593,0.004,0.031,0.009,0.614,0.018,0.968,0.021,0.814,0.004,0.206,0.733,0.325,0.016,0.036,0.85,0.017,0.601,0.01,0.005,0.014
26,0.977,0.016,0.159,0.038,0.504,0.998,0.022,0.019,0.028,0.025,0.01,0.429,0.797,0.794,0.016,0.005,0.885,0.005,0.77,0.167,0.046,0.025,0.025,0.02,0.971,0.916,1.0,0.003,0.033,0.298,0.011,0.0,0.028,0.35,0.034,0.987,0.021,0.537,0.007,0.063,0.504,0.124,0.027,0.003,0.616,0.022,0.813,0.019,0.014,0.024
27,0.03,0.994,0.828,0.399,0.025,0.01,0.288,0.277,0.042,0.822,0.055,0.476,0.119,0.009,0.201,0.163,0.012,0.169,0.182,0.804,0.651,0.043,0.373,0.042,0.001,0.066,0.003,1.0,0.615,0.619,0.939,0.987,0.753,0.564,0.723,0.018,0.369,0.355,0.921,0.927,0.385,0.855,0.033,0.997,0.334,0.03,0.018,0.045,0.066,0.032
28,0.022,0.492,0.255,0.941,0.029,0.03,0.821,0.819,0.212,0.924,0.301,0.051,0.007,0.03,0.741,0.585,0.045,0.617,0.005,0.21,0.998,0.22,0.923,0.149,0.047,0.025,0.033,0.615,1.0,0.106,0.795,0.679,0.953,0.081,0.981,0.036,0.914,0.016,0.847,0.363,0.027,0.289,0.141,0.635,0.01,0.095,0.036,0.146,0.338,0.089
29,0.446,0.71,0.946,0.053,0.019,0.34,0.032,0.02,0.006,0.245,0.015,0.967,0.69,0.071,0.013,0.015,0.109,0.016,0.75,0.965,0.137,0.006,0.04,0.003,0.193,0.593,0.298,0.619,0.106,1.0,0.388,0.548,0.204,0.995,0.156,0.396,0.039,0.921,0.351,0.871,0.948,0.927,0.003,0.582,0.887,0.001,0.07,0.005,0.013,0.001
30,0.001,0.867,0.61,0.598,0.026,0.002,0.457,0.431,0.08,0.96,0.093,0.269,0.034,0.033,0.358,0.281,0.02,0.304,0.062,0.549,0.838,0.079,0.603,0.071,0.014,0.004,0.011,0.939,0.795,0.388,1.0,0.98,0.945,0.34,0.893,0.001,0.551,0.177,0.998,0.774,0.221,0.642,0.052,0.951,0.137,0.051,0.028,0.072,0.138,0.041
31,0.012,0.964,0.751,0.478,0.031,0.001,0.33,0.294,0.049,0.889,0.075,0.364,0.074,0.023,0.256,0.201,0.019,0.237,0.117,0.707,0.715,0.069,0.496,0.036,0.004,0.031,0.0,0.987,0.679,0.548,0.98,1.0,0.865,0.47,0.793,0.005,0.442,0.273,0.961,0.9,0.353,0.801,0.045,0.995,0.237,0.023,0.028,0.05,0.091,0.032
32,0.016,0.662,0.382,0.818,0.026,0.023,0.645,0.61,0.116,0.997,0.19,0.119,0.008,0.038,0.564,0.413,0.035,0.446,0.009,0.34,0.963,0.124,0.812,0.111,0.034,0.009,0.028,0.753,0.953,0.204,0.945,0.865,1.0,0.166,0.988,0.017,0.769,0.054,0.95,0.535,0.078,0.429,0.082,0.83,0.052,0.077,0.048,0.103,0.222,0.059
33,0.499,0.695,0.933,0.037,0.031,0.384,0.012,0.011,0.004,0.199,0.005,0.983,0.751,0.081,0.017,0.008,0.156,0.01,0.793,0.955,0.093,0.007,0.026,0.005,0.211,0.614,0.35,0.564,0.081,0.995,0.34,0.47,0.166,1.0,0.108,0.475,0.022,0.949,0.299,0.809,0.974,0.885,0.003,0.533,0.921,0.001,0.097,0.001,0.009,0.001
34,0.019,0.619,0.323,0.876,0.026,0.036,0.714,0.697,0.14,0.973,0.237,0.082,0.003,0.041,0.649,0.498,0.054,0.523,0.004,0.279,0.989,0.161,0.85,0.152,0.037,0.018,0.034,0.723,0.981,0.156,0.893,0.793,0.988,0.108,1.0,0.02,0.838,0.042,0.935,0.485,0.053,0.357,0.102,0.727,0.022,0.065,0.045,0.108,0.255,0.061
35,0.996,0.049,0.22,0.025,0.428,0.992,0.022,0.015,0.014,0.015,0.012,0.572,0.888,0.739,0.01,0.009,0.83,0.009,0.86,0.259,0.03,0.025,0.031,0.024,0.919,0.968,0.987,0.018,0.036,0.396,0.001,0.005,0.017,0.475,0.02,1.0,0.03,0.689,0.004,0.12,0.617,0.163,0.016,0.009,0.708,0.016,0.745,0.016,0.003,0.034
36,0.02,0.274,0.087,0.994,0.029,0.019,0.983,0.974,0.353,0.712,0.487,0.01,0.009,0.019,0.934,0.827,0.025,0.86,0.012,0.096,0.875,0.388,0.996,0.295,0.031,0.021,0.021,0.369,0.914,0.039,0.551,0.442,0.769,0.022,0.838,0.03,1.0,0.008,0.619,0.165,0.007,0.133,0.247,0.39,0.001,0.175,0.017,0.28,0.549,0.173
37,0.698,0.438,0.761,0.011,0.081,0.62,0.011,0.002,0.001,0.076,0.0,0.988,0.917,0.187,0.002,0.004,0.311,0.004,0.95,0.815,0.016,0.0,0.007,0.0,0.419,0.814,0.537,0.355,0.016,0.921,0.177,0.273,0.054,0.949,0.042,0.689,0.008,1.0,0.146,0.594,0.996,0.698,0.0,0.307,0.997,0.004,0.223,0.0,0.001,0.005
38,0.0,0.845,0.567,0.667,0.038,0.004,0.484,0.446,0.09,0.988,0.141,0.234,0.028,0.04,0.396,0.29,0.035,0.292,0.037,0.496,0.885,0.095,0.632,0.077,0.028,0.004,0.007,0.921,0.847,0.351,0.998,0.961,0.95,0.299,0.935,0.004,0.619,0.146,1.0,0.727,0.181,0.608,0.06,0.943,0.11,0.052,0.036,0.072,0.143,0.062
39,0.134,0.976,0.963,0.233,0.015,0.085,0.123,0.126,0.024,0.591,0.027,0.697,0.352,0.008,0.107,0.077,0.012,0.061,0.397,0.952,0.421,0.029,0.202,0.025,0.024,0.206,0.063,0.927,0.363,0.871,0.774,0.9,0.535,0.809,0.485,0.12,0.165,0.594,0.727,1.0,0.66,0.981,0.011,0.898,0.559,0.011,0.004,0.011,0.037,0.014
40,0.652,0.511,0.825,0.016,0.062,0.533,0.007,0.005,0.0,0.103,0.003,0.997,0.877,0.181,0.007,0.005,0.278,0.008,0.916,0.855,0.046,0.0,0.013,0.002,0.385,0.733,0.504,0.385,0.027,0.948,0.221,0.353,0.078,0.974,0.053,0.617,0.007,0.996,0.181,0.66,1.0,0.731,0.001,0.36,0.975,0.0,0.178,0.0,0.003,0.001
41,0.232,0.924,0.996,0.144,0.007,0.148,0.097,0.097,0.015,0.468,0.015,0.795,0.456,0.01,0.067,0.048,0.026,0.049,0.495,0.991,0.295,0.018,0.149,0.019,0.046,0.325,0.124,0.855,0.289,0.927,0.642,0.801,0.429,0.885,0.357,0.163,0.133,0.698,0.608,0.981,0.731,1.0,0.012,0.838,0.669,0.008,0.015,0.017,0.031,0.011
42,0.022,0.031,0.012,0.211,0.006,0.025,0.334,0.399,0.979,0.086,0.883,0.001,0.008,0.018,0.426,0.54,0.029,0.544,0.004,0.007,0.132,0.956,0.239,0.986,0.023,0.016,0.027,0.033,0.141,0.003,0.052,0.045,0.082,0.003,0.102,0.016,0.247,0.0,0.06,0.011,0.001,0.012,1.0,0.037,0.003,0.983,0.023,0.998,0.804,0.961
43,0.01,0.965,0.805,0.492,0.021,0.01,0.323,0.282,0.049,0.854,0.081,0.437,0.12,0.028,0.276,0.178,0.01,0.179,0.147,0.722,0.663,0.07,0.423,0.051,0.003,0.036,0.003,0.997,0.635,0.582,0.951,0.995,0.83,0.533,0.727,0.009,0.39,0.307,0.943,0.898,0.36,0.838,0.037,1.0,0.249,0.029,0.014,0.047,0.086,0.028
44,0.751,0.377,0.713,0.007,0.095,0.663,0.007,0.005,0.0,0.061,0.0,0.974,0.938,0.242,0.009,0.0,0.328,0.006,0.974,0.753,0.014,0.0,0.005,0.001,0.472,0.85,0.616,0.334,0.01,0.887,0.137,0.237,0.052,0.921,0.022,0.708,0.001,0.997,0.11,0.559,0.975,0.669,0.003,0.249,1.0,0.006,0.264,0.001,0.001,0.002
45,0.019,0.028,0.011,0.145,0.002,0.022,0.227,0.255,0.918,0.064,0.8,0.002,0.012,0.015,0.293,0.459,0.024,0.377,0.013,0.002,0.084,0.895,0.149,0.933,0.027,0.017,0.022,0.03,0.095,0.001,0.051,0.023,0.077,0.001,0.065,0.016,0.175,0.004,0.052,0.011,0.0,0.008,0.983,0.029,0.006,1.0,0.016,0.958,0.691,0.997
46,0.704,0.008,0.022,0.019,0.86,0.78,0.019,0.022,0.027,0.037,0.03,0.144,0.409,0.998,0.021,0.02,0.992,0.023,0.392,0.025,0.047,0.032,0.022,0.025,0.946,0.601,0.813,0.018,0.036,0.07,0.028,0.028,0.048,0.097,0.045,0.745,0.017,0.223,0.036,0.004,0.178,0.015,0.023,0.014,0.264,0.016,1.0,0.019,0.03,0.018
47,0.023,0.026,0.012,0.228,0.011,0.016,0.362,0.384,0.988,0.115,0.915,0.0,0.007,0.027,0.462,0.608,0.028,0.561,0.004,0.009,0.123,0.972,0.268,0.995,0.027,0.01,0.019,0.045,0.146,0.005,0.072,0.05,0.103,0.001,0.108,0.016,0.28,0.0,0.072,0.011,0.0,0.017,0.998,0.047,0.001,0.958,0.019,1.0,0.86,0.939
48,0.006,0.055,0.014,0.478,0.037,0.01,0.686,0.697,0.924,0.206,0.992,0.004,0.001,0.038,0.786,0.897,0.019,0.855,0.0,0.017,0.296,0.946,0.558,0.889,0.016,0.005,0.014,0.066,0.338,0.013,0.138,0.091,0.222,0.009,0.255,0.003,0.549,0.001,0.143,0.037,0.003,0.031,0.804,0.086,0.001,0.691,0.03,0.86,1.0,0.66
49,0.018,0.021,0.003,0.131,0.0,0.022,0.213,0.229,0.884,0.049,0.747,0.003,0.014,0.014,0.264,0.406,0.015,0.352,0.016,0.006,0.079,0.87,0.134,0.923,0.026,0.014,0.024,0.032,0.089,0.001,0.041,0.032,0.059,0.001,0.061,0.034,0.173,0.005,0.062,0.014,0.001,0.011,0.961,0.028,0.002,0.997,0.018,0.939,0.66,1.0
